"name";"alias";"group";"email"
"University Medical Center Utrecht";"UMCU";"adminumcu";"researchtooling@umcutrecht.nl"
"Imaging & Oncology";"umcuIO";"dsbeeld";"DatamanagementBeeld@umcutrecht.nl"
"Education Center";"umcudoo";"dsdoo";"datamanagementOWC@umcutrecht.nl"
"Neurosciences";"umcuher";"dsher";"OnderzoekDivisieHersenen@umcutrecht.nl"
"Heart and Lungs";"umcuhl";"dshl";"DatamanagementDHL@umcutrecht.nl"
"Surgical Specialties";"umcuhs";"dshs";"DHS-Datamanagement@umcutrecht.nl"
"Internal Medicine and Dermatology";"umcuigd";"dsigd";"DIGD_Datamanagers@umcutrecht.nl"
"Julius Center for Health Sciences and Primary Care";"umcujc";"dsjc";"dm_julius@umcutrecht.nl"
"Pediatrics";"umcukind";"dskind";"DatamanagementKinderen@umcutrecht.nl"
"Laboratories, Pharmacy & Biomedical Genetics";"umculab";"dslab";"dLAB-Datamanagement@umcutrecht.nl"
"Woman and Baby";"umcuvb";"dsvb";"DatamanagementVrouwenBaby@umcutrecht.nl"
"Anesthesiology, Intensive Care and Emergency Medicine";"umcuvf";"dsvf";"DatamanagementDVF@umcutrecht.nl"
